ID,Name,Address,Latitude,Longtitude,Level,Has ER
1,Amang Rodriguez Memorial Medical Center,"Sumulong Hwy, Sto. Ni単o, Marikina City",14.6361025,121.0984445,3,Yes
2,Garcia General Hospital,"49 Bayan-Bayanan Ave, Concepcion Uno, Marikina City",14.6512201,121.1109386,1,Yes
3,Saint Anthony Medical Center,"32 Santa Ana Extension, San Roque, Marikina City",14.6245013,121.1027964,3,Yes
4,SDS Medical Center,"75 J.P. Rizal St, Calumpang, Marikina City",14.6394264,121.1101051,1,Yes
5,Saint Victoria Hospital,"30 M. Cruz St, Marikina City",14.6421814,121.094689,1,Yes
6,St. Vincent Hospital,"60 Gen. Ordo単ez St, Marikina Heights, Marikina City",14.6509537,121.1076272,1,Yes
7,VT Maternity Hospital,"1 E. Manalo Ave, Sto. Ni単o, Marikina City",14.6371064,121.09944,1,Yes
8,Marikina Doctors Hospital and Medical Center,"21 Gen. Santos Ave, San Perfecto, Marikina City",14.6210693,121.0825904,3,Yes
9,Marikina Valley Medical Center,"Sumulong Hwy, Sto. Ni単o, Marikina City",14.6348962,121.1041207,3,Yes
10,P. Gonzales Memorial Hospital,"40 Lilac St, Hacienda Heights, Concepcion Dos, Marikina City",14.6491275,121.0984563,1,Yes