Raw Data From OSM(Overpass Turbo),,,,,,,
ID,Name,Address,Latitude,Longtitude,Level,Has ER,Status Verification Sources
1,Amang Rodriguez Memorial Medical Center,"Sumulong Hwy, Sto. Niño, Marikina City",14.6361025,121.0984445,3,Yes,
2,Garcia General Hospital,"49 Bayan-Bayanan Ave, Concepcion Uno, Marikina City",14.6512201,121.1109386,1,Yes (Assumed),
3,Saint Anthony Medical Center,"32 Santa Ana Extension, San Roque, Marikina City",14.6245013,121.1027964,3,Yes,
4,SDS Medical Center,"75 J.P. Rizal St, Calumpang, Marikina City",14.6394264,121.1101051,1,Yes (Assumed),
5,San Ramon Hospital,"22 Sumulong Hwy, Marikina City",14.6441363,121.1172466,1,Yes (Assumed),
6,Saint Victoria Hospital,"30 M. Cruz St, Marikina City",14.6421814,121.094689,1,Yes (Assumed),
7,St. Vincent Hospital,"60 Gen. Ordoñez St, Marikina Heights, Marikina City",14.6509537,121.1076272,1,Yes (Assumed),
8,VT Maternity Hospital,"1 E. Manalo Ave, Sto. Niño, Marikina City",14.6371064,121.09944,1,No (Likely),
9,Jesus Immaculate Concepcion Hospital,"18 Katipunan St, Concepcion Dos, Marikina City",14.6383662,121.1089582,1,Yes (Assumed),
10,De Guzman Clinic,"108 E. Dela Paz St, San Roque, Marikina City",14.6570412,121.1066938,N/A,No,
11,Marikina Doctors Hospital and Medical Center,"21 Gen. Santos Ave, San Perfecto, Marikina City",14.6210693,121.0825904,3,Yes,
12,Marikina Valley Medical Center,"Sumulong Hwy, Sto. Niño, Marikina City",14.6348962,121.1041207,3,Yes,
13,P. Gonzales Memorial Hospital,"40 Lilac St, Hacienda Heights, Concepcion Dos, Marikina City",14.6491275,121.0984563,1,Yes (Assumed),
,,,,,,,
Cross-Checked Data,,,,,,,
ID,Name,Address,Latitude,Longtitude,Level,Has ER,Status Verification Sources
1,Amang Rodriguez Memorial Medical Center,"Sumulong Hwy, Sto. Niño, Marikina City",14.6361025,121.0984445,3,Yes,
2,Garcia General Hospital,"49 Bayan-Bayanan Ave, Concepcion Uno, Marikina City",14.6512201,121.1109386,1,Yes,
3,Saint Anthony Medical Center,"32 Santa Ana Extension, San Roque, Marikina City",14.6245013,121.1027964,3,Yes,
4,SDS Medical Center,"75 J.P. Rizal St, Calumpang, Marikina City",14.6394264,121.1101051,1,Yes,
5,San Ramon Hospital,"22 Sumulong Hwy, Marikina City",14.6441363,121.1172466,1,Yes,
6,Saint Victoria Hospital,"30 M. Cruz St, Marikina City",14.6421814,121.094689,1,Yes,
7,St. Vincent Hospital,"60 Gen. Ordoñez St, Marikina Heights, Marikina City",14.6509537,121.1076272,1,Yes,
8,Jesus Immaculate Concepcion Hospital,"18 Katipunan St, Concepcion Dos, Marikina City",14.6383662,121.1089582,1,Yes,
9,Marikina Doctors Hospital and Medical Center,"21 Gen. Santos Ave, San Perfecto, Marikina City",14.6210693,121.0825904,3,Yes,
10,Marikina Valley Medical Center,"Sumulong Hwy, Sto. Niño, Marikina City",14.6348962,121.1041207,3,Yes,
11,P. Gonzales Memorial Hospital,"40 Lilac St, Hacienda Heights, Concepcion Dos, Marikina City",14.6491275,121.0984563,1,Yes,